18:49:09 | TradingSystem | INFO | ✅ 000250 분석 완료 - 점수: 64.9, 추천: WEAK_BUY
18:49:09 | TradingSystem | INFO | 🎯 000250 분석 완료: 점수 64.89737373737373, 추천 WEAK_BUY
18:49:09 | TradingSystem | INFO | ✅ 000250 신호 추가됨
18:49:09 | TradingSystem | INFO | 🔬 484870 (종목484870) 분석 시작...
18:49:17 | TradingSystem | INFO | ✅ 484870 분석 완료 - 점수: 48.0, 추천: HOLD
18:49:17 | TradingSystem | INFO | 🎯 484870 분석 완료: 점수 47.979827586206895, 추천 HOLD
18:49:17 | TradingSystem | INFO | ❌ 484870 점수 부족: 47.979827586206895 < 60
18:49:17 | TradingSystem | INFO | 🔬 041510 (종목041510) 분석 시작...
18:49:26 | TradingSystem | INFO | ✅ 041510 분석 완료 - 점수: 61.3, 추천: WEAK_BUY
18:49:26 | TradingSystem | INFO | 🎯 041510 분석 완료: 점수 61.28575757575758, 추천 WEAK_BUY
18:49:26 | TradingSystem | INFO | ✅ 041510 신호 추가됨
18:49:26 | TradingSystem | INFO | 🔬 033780 (종목033780) 분석 시작...
18:49:34 | TradingSystem | INFO | ✅ 033780 분석 완료 - 점수: 79.5, 추천: BUY
18:49:34 | TradingSystem | INFO | 🎯 033780 분석 완료: 점수 79.51443786982249, 추천 BUY
18:49:34 | TradingSystem | INFO | ✅ 033780 신호 추가됨
18:49:34 | TradingSystem | INFO | 🔬 005830 (종목005830) 분석 시작...
18:49:42 | TradingSystem | INFO | ✅ 005830 분석 완료 - 점수: 64.9, 추천: WEAK_BUY
18:49:42 | TradingSystem | INFO | 🎯 005830 분석 완료: 점수 64.93747326203209, 추천 WEAK_BUY
18:49:42 | TradingSystem | INFO | ✅ 005830 신호 추가됨
18:49:42 | TradingSystem | INFO | 🔬 267250 (종목267250) 분석 시작...
18:49:51 | TradingSystem | INFO | ✅ 267250 분석 완료 - 점수: 53.8, 추천: HOLD
18:49:51 | TradingSystem | INFO | 🎯 267250 분석 완료: 점수 53.77243781094527, 추천 HOLD
18:49:51 | TradingSystem | INFO | ❌ 267250 점수 부족: 53.77243781094527 < 60
