2025-07-05 10:48:53 | TradingSystem | ERROR    | analyze_symbol  | ❌ 000720 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:49:02 | TradingSystem | ERROR    | analyze_symbol  | ❌ 065350 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:49:11 | TradingSystem | ERROR    | analyze_symbol  | ❌ 454910 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:49:20 | TradingSystem | ERROR    | analyze_symbol  | ❌ 010950 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:49:29 | TradingSystem | ERROR    | analyze_symbol  | ❌ 082270 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:49:38 | TradingSystem | ERROR    | analyze_symbol  | ❌ 006120 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:49:47 | TradingSystem | ERROR    | analyze_symbol  | ❌ 376300 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:49:56 | TradingSystem | ERROR    | analyze_symbol  | ❌ 017670 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:50:05 | TradingSystem | ERROR    | analyze_symbol  | ❌ 272210 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:50:14 | TradingSystem | ERROR    | analyze_symbol  | ❌ 302440 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:50:22 | TradingSystem | ERROR    | analyze_symbol  | ❌ 036460 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:50:31 | TradingSystem | ERROR    | analyze_symbol  | ❌ 071970 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:50:39 | TradingSystem | ERROR    | analyze_symbol  | ❌ 103590 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:50:49 | TradingSystem | ERROR    | analyze_symbol  | ❌ 160190 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:50:58 | TradingSystem | ERROR    | analyze_symbol  | ❌ 192400 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:51:07 | TradingSystem | ERROR    | analyze_symbol  | ❌ 039200 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:51:15 | TradingSystem | ERROR    | analyze_symbol  | ❌ 323410 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:51:25 | TradingSystem | ERROR    | analyze_symbol  | ❌ 007390 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:51:33 | TradingSystem | ERROR    | analyze_symbol  | ❌ 003540 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 10:52:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 214450 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:52:31 | TradingSystem | ERROR    | analyze_symbol  | ❌ 004370 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:52:35 | TradingSystem | ERROR    | analyze_symbol  | ❌ 329180 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:52:39 | TradingSystem | ERROR    | analyze_symbol  | ❌ 005490 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:52:44 | TradingSystem | ERROR    | analyze_symbol  | ❌ 018670 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:52:49 | TradingSystem | ERROR    | analyze_symbol  | ❌ 357780 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
