2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 035420 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 000810 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 035720 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 000660 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 323410 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 034730 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 055550 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 105560 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 017670 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 051910 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 003550 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 005380 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | AnalysisEngine | WARNING  | analyze_comprehensive | ⚠️ 066570 가격 데이터 수집 타임아웃 - 기본 분석 사용
2025-08-07 06:41:43 | TechnicalAnalyzer | INFO     | analyze_stock   | 🔍 005930 기술적 분석 시작...
2025-08-07 06:41:43 | TechnicalAnalyzer | INFO     | analyze_stock   | ✅ 005930 기술적 분석 완료 - 점수: 65.0
2025-08-07 06:41:43 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - 005930
2025-08-07 06:41:43 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 005930 (종목005930)
2025-08-07 06:41:43 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - 005930 점수: 50.8
2025-08-07 06:41:43 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - 005930 (종목005930)
2025-08-07 06:41:43 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - 005930 (종목005930): 1개 패턴, 점수: 56.5
2025-08-07 06:41:43 | ChartPatternAnalyzer | INFO     | analyze         | ✅ 005930 (종목005930) 패턴 분석 완료: 1개 패턴, 점수: 56.5
2025-08-07 06:41:43 | TechnicalAnalyzer | INFO     | analyze_stock   | 🔍 006400 기술적 분석 시작...
2025-08-07 06:41:43 | TechnicalAnalyzer | INFO     | analyze_stock   | ✅ 006400 기술적 분석 완료 - 점수: 20.0
2025-08-07 06:41:43 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 006400 (종목006400)
2025-08-07 06:41:43 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - 006400
2025-08-07 06:41:43 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - 006400 점수: 44.2
2025-08-07 06:41:43 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - 006400 (종목006400)
2025-08-07 06:41:43 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - 006400 (종목006400): 0개 패턴, 점수: 50.0
2025-08-07 06:41:43 | ChartPatternAnalyzer | INFO     | analyze         | 📊 006400 (종목006400) 패턴 감지 결과: 명확한 패턴 없음
2025-08-07 06:41:43 | ChartPatternAnalyzer | INFO     | _create_basic_pattern_result | 📊 006400 기본 패턴 분석 완료: 점수 50, 패턴 ['횡보_패턴']
2025-08-07 06:41:43 | TechnicalAnalyzer | INFO     | analyze_stock   | 🔍 068270 기술적 분석 시작...
2025-08-07 06:41:43 | TechnicalAnalyzer | INFO     | analyze_stock   | ✅ 068270 기술적 분석 완료 - 점수: 25.0
