2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 001390 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:55 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 033180 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 001940 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 025000 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 092230 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 000040 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 044450 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 030200 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 033780 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 058850 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 058860 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 100/2650 (3.8%) - 수집된 종목: 0개
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 093050 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | INFO     | collect_filtered_stocks | 📊 배치 2 완료 - 수집된 종목: 0개, 실패: 100개
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 003550 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 034220 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 051900 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 051905 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 064400 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 373220 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 003555 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 032640 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 011070 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 066570 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 066575 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 037560 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 051910 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 051915 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 079550 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 006260 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 010120 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 000680 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 229640 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 108320 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 001120 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 108670 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 108675 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 383800 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 38380K 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 023150 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 035420 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 181710 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 005940 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 005945 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 034310 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:56 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 030190 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
