2025-07-05 07:36:26 | AnalysisEngine | INFO     | analyze_comprehensive |    📊 구성: 기술(60.0) + 펀더(50.0) + 뉴스(73.3) + 수급(36.4) + 패턴(59.5)
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   | ✅ 통합 테스트 성공 - 분석 점수: 68.4
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   | 8️⃣ 테스트 결과 요약:
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   |   ✅ config
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   |   ✅ logger
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   |   ✅ database
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   |   ✅ collectors
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   |   ✅ analyzers
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   |   ✅ strategies
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   | 📊 테스트 결과: 6/6 통과
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   | 🎉 모든 테스트 통과! 시스템이 정상 작동합니다.
2025-07-05 07:36:26 | Main         | INFO     | run_test_mode   | 💡 다음 단계: python main.py --mode analysis
2025-07-05 07:36:26 | Main         | INFO     | main            | ✅ 프로그램 정상 종료
2025-07-05 08:15:25 | TradingSystem | INFO     | _initialize_system | 🚀 트레이딩 시스템 초기화 완료
2025-07-05 08:15:25 | TradingSystem | INFO     | _initialize_system |    매매 모드: 비활성화
2025-07-05 08:15:25 | TradingSystem | INFO     | _initialize_system |    백테스트: 비활성화
2025-07-05 08:15:33 | TradingSystem | INFO     | run_market_analysis | 📊 전체 시장 분석 시작 (전략: momentum, 전체 종목 필터링)
2025-07-05 08:15:34 | KISCollector | INFO     | initialize      | 🔌 KIS API 연결 초기화 중...
2025-07-05 08:15:34 | KISCollector | INFO     | _load_saved_token | ✅ 저장된 토큰 로드 성공 (생성: 2025-07-05 07:35, 남은시간: 23.2시간)
2025-07-05 08:15:34 | KISCollector | INFO     | initialize      | ✅ 저장된 토큰 사용
2025-07-05 08:15:34 | KISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-05 08:15:34 | AnalysisEngine | INFO     | __init__        | ✅ 뉴스 수집기 초기화 완료
2025-07-05 08:15:34 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 08:15:34 | TechnicalAnalyzer | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 08:15:34 | TechnicalAnalyzer | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 08:15:34 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-05 08:15:34 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 08:15:34 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 08:15:34 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 08:15:34 | MomentumStrategy | INFO     | __init__        | 📈 모멘텀 전략 초기화 완료
2025-07-05 08:15:34 | TradingSystem | INFO     | _initialize_strategies | ✅ 전략 초기화 완료: ['momentum']
2025-07-05 08:15:34 | TradingSystem | INFO     | initialize_components | ✅ 모든 컴포넌트 초기화 완료
2025-07-05 08:15:34 | KISCollector | INFO     | get_filtered_stocks | 🔍 종목 필터링 시작 (목표: None개)
2025-07-05 08:15:34 | KISCollector | INFO     | get_filtered_stocks_pykrx | 🔍 pykrx 기반 종목 필터링 시작 (목표: None개)
2025-07-05 08:15:35 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📅 데이터 기준일: 20250704
2025-07-05 08:15:35 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📊 KOSPI 시장 필터링 중...
2025-07-05 08:15:39 | KISCollector | INFO     | get_filtered_stocks_pykrx | ✅ KOSPI 필터링 완료: 829개 종목
2025-07-05 08:15:39 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📊 KOSDAQ 시장 필터링 중...
2025-07-05 08:15:39 | KISCollector | INFO     | get_filtered_stocks_pykrx | ✅ KOSDAQ 필터링 완료: 1447개 종목
2025-07-05 08:15:39 | KISCollector | ERROR    | get_filtered_stocks_pykrx | ❌ pykrx 필터링 실패: '>' not supported between instances of 'int' and 'NoneType'
2025-07-05 08:15:39 | KISCollector | WARNING  | get_filtered_stocks | ⚠️ pykrx 방식 실패: '>' not supported between instances of 'int' and 'NoneType'
2025-07-05 08:15:39 | KISCollector | INFO     | get_filtered_stocks | 🔍 KIS API 기반 필터링 시작
2025-07-05 08:15:39 | KISCollector | INFO     | get_stock_list  | 📋 상장 종목 리스트 조회 중...
2025-07-05 08:15:39 | KISCollector | INFO     | get_stock_list  | 🔍 pykrx 라이브러리 시도...
2025-07-05 08:15:39 | KISCollector | INFO     | _get_stock_list_pykrx | ✅ pykrx 라이브러리 로드 성공
