2025-08-06 09:28:53 | TradingScheduler | INFO     | __init__        | ✅ TradingScheduler 초기화 완료
2025-08-06 09:28:55 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-06 09:28:55 | AIPredictor  | INFO     | __init__        | ✅ AI 예측 분석기 초기화 완료
2025-08-06 09:28:57 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-06 09:28:57 | AIRiskManager | INFO     | __init__        | ✅ AI 리스크 관리자 초기화 완료
2025-08-06 09:29:00 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-06 09:29:00 | MarketRegimeDetector | INFO     | __init__        | ✅ 시장 체제 감지기 초기화 완료
2025-08-06 09:29:12 | Main         | INFO     | main            | 설정 초기화 완료
2025-08-06 09:29:12 | Main         | INFO     | main            | TradingSystem 임포트 성공
2025-08-06 09:29:12 | Main         | INFO     | main            | 컴포넌트 초기화 중...
2025-08-06 09:29:13 | KISCollector | INFO     | __init__        | KISCollector initialized (virtual: True)
2025-08-06 09:29:13 | KISCollector | INFO     | initialize      | Initializing KIS API collector...
2025-08-06 09:29:13 | KISCollector | INFO     | load_cached_token | Using cached token (expires in 4:59:12.324629)
2025-08-06 09:29:15 | KISCollector | INFO     | _test_connection | API connection test successful
2025-08-06 09:29:15 | KISCollector | INFO     | initialize      | KIS API collector initialized successfully
2025-08-06 09:29:15 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-06 09:29:17 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-06 09:29:17 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-06 09:29:17 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-06 09:29:20 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-06 09:29:20 | Strategy_BreakoutStrategy | INFO     | __init__        | 📈 돌파 매매 전략 초기화 완료
2025-08-06 09:29:20 | Strategy_EodStrategy | INFO     | __init__        | 📈 EOD 전략 초기화 완료
2025-08-06 09:29:20 | Strategy_VwapStrategy | INFO     | __init__        | 📈 VWAP 전략 초기화 완료
2025-08-06 09:29:20 | Strategy_Scalping3mStrategy | INFO     | __init__        | ✅ 3분봉 스캘핑 전략 초기화 완료
2025-08-06 09:29:20 | Strategy_RsiStrategy | INFO     | __init__        | ✅ RSI 전략 초기화 완료
2025-08-06 09:29:20 | TradingScheduler | INFO     | __init__        | ✅ TradingScheduler 초기화 완료
2025-08-06 09:29:22 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-06 09:29:22 | AIPredictor  | INFO     | __init__        | ✅ AI 예측 분석기 초기화 완료
2025-08-06 09:29:24 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-06 09:29:24 | AIRiskManager | INFO     | __init__        | ✅ AI 리스크 관리자 초기화 완료
2025-08-06 09:29:27 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
